Date,Period,ReportType,Demand,TCL,USEP,LCP,Regulation,PrimaryReserve,ContingencyReserve,EHEUR,Solar
2024-04-14,25,REP,6088.31,0.000,109.69,0.00,30,.01,.01,-0.44,423.26
2024-04-14,26,REP,6033.749,0.000,103.83,0.00,30,.01,.01,-0.41,512.92
2024-04-14,27,REP,6173.103,0.000,120.25,0.00,30,.05,2,-0.49,392.03
2024-04-14,28,REP,6194.076,0.000,120.76,0.00,30,.05,2,-0.48,367.12
2024-04-14,29,REP,6318.078,0.000,141.9,0.00,24.68,.05,12.88,-0.56,271.2
2024-04-14,30,REP,6330.895,0.000,141.92,0.00,30,.05,12.88,-0.58,238.92
2024-04-14,31,REP,6392.096,0.000,161.07,0.00,30,.05,27.21,-0.66,169.18
2024-04-14,32,REP,6289.793,0.000,132.84,0.00,30,.05,8.92,-0.53,257.81
2024-04-14,33,REP,6243.682,0.000,122.67,0.00,30,.05,3.9,-0.47,253.76
2024-04-14,34,REP,6168.197,0.000,113.74,0.00,30,.01,.05,-0.44,297.99
2024-04-14,35,REP,6238.99,0.000,122.68,0.00,30,.05,2,-0.48,229.19
2024-04-14,36,REP,6368.752,0.000,142.04,0.00,30,.05,12.34,-0.58,120.21
2024-04-14,37,REP,6457.198,0.000,168.2,0.00,44.44,.05,25,-0.68,89.16
2024-04-14,38,REP,6583.888,0.000,198.56,0.00,44.44,.5,36.44,-0.84,33.21
2024-04-14,39,REP,6668.756,0.000,198.93,0.00,45.34,.05,35.44,-0.83,5.77
2024-04-14,40,REP,6745.195,0.000,232.96,0.00,49.95,.05,50,-1.07,0
2024-04-14,41,REP,6815.709,0.000,280.34,0.00,48,.05,50,-1.33,0
2024-04-14,42,REP,6854.892,0.000,306.19,0.00,70,.5,72,-1.43,0
2024-04-14,43,REP,6826.553,0.000,305.99,0.00,58.88,1.5,60.88,-1.43,0
2024-04-14,44,REP,6730.995,0.000,232.83,0.00,49.95,1.5,50,-1.00,0
2024-04-14,45,REP,6620.07,0.000,198.39,0.00,48,1.5,50,-0.87,0
2024-04-14,46,REP,6501.187,0.000,170.58,0.00,30,.5,32,-0.68,0
2024-04-14,47,REP,6393.09,0.000,170.51,0.00,30,.05,36.85,-0.68,0
2024-04-14,48,REP,6260.128,0.000,161.06,0.00,30,.05,27.78,-0.61,0
2024-04-15,1,REP,6120.963,0.000,112.04,0.00,21.29,.05,1.26,-0.41,0
2024-04-15,2,REP,6003.631,0.000,102.87,0.00,11.11,.05,.01,-0.37,0
2024-04-15,3,REP,5896.358,0.000,102.86,0.00,10,.01,.01,-0.38,0
2024-04-15,4,REP,5823.831,0.000,101,0.00,11.11,.01,.01,-0.37,0
2024-04-15,5,REP,5777.237,0.000,108.03,0.00,10,.01,.01,-0.38,0
2024-04-15,6,REP,5723.263,0.000,102.85,0.00,10,.01,.01,-0.36,0
2024-04-15,7,REP,5733.829,0.000,107.55,0.00,10,.01,.01,-0.37,0
2024-04-15,8,REP,5705.098,0.000,107.52,0.00,10,.01,.01,-0.37,0
2024-04-15,9,REP,5674.194,0.000,102.84,0.00,10,.01,.01,-0.35,0
2024-04-15,10,REP,5662.475,0.000,101.67,0.00,10,.01,.01,-0.35,0
2024-04-15,11,REP,5792.545,0.000,113.81,0.00,11.11,.01,.01,-0.39,0
2024-04-15,12,REP,5947.972,0.000,122.63,0.00,22.22,.01,.01,-0.42,0
2024-04-15,13,REP,6125.018,0.000,122.64,0.00,24.68,.01,.01,-0.44,0
2024-04-15,14,REP,6310.692,0.000,132.78,0.00,30,.01,5.88,-0.48,0
2024-04-15,15,REP,6524.452,0.000,137.91,0.00,50,.5,4.99,-0.54,3.95
2024-04-15,16,REP,6787.544,0.000,184.49,0.00,35,.5,7.11,-0.74,10.91
2024-04-15,17,REP,7035.974,0.000,230.17,0.00,30,.5,4.99,-0.92,17.55
2024-04-15,18,REP,7156.616,0.000,233.33,0.00,35,.05,2,-0.97,42.91
2024-04-15,19,REP,7208.175,0.000,231.74,0.00,49.99,.5,50,-0.95,81.69
2024-04-15,20,REP,7222.315,0.000,185.12,0.00,49.99,.05,45.35,-0.77,135.15
2024-04-15,21,REP,7276.403,0.000,232.94,0.00,48,.05,50,-0.99,140.95
2024-04-15,22,REP,7293.555,0.000,204.36,0.00,44.44,.5,50,-0.91,187.61
2024-04-15,23,REP,7285.101,0.000,232.47,0.00,39.99,.5,50,-1.06,235.81
2024-04-15,24,REP,7130.409,0.000,184.46,0.00,33.76,.05,33.77,-0.79,315.15
2024-04-15,25,REP,6933.851,0.000,181.8,0.00,41.1,.5,43.1,-0.75,409.47
2024-04-15,26,REP,6873.967,0.000,181.06,0.00,38,.5,40,-0.74,511.39
2024-04-15,27,REP,6874.663,0.000,153.68,0.00,33.33,.05,23.38,-0.61,582.87
2024-04-15,28,REP,6989.425,0.000,181.13,0.00,35,1.5,40,-0.77,535.18
2024-04-15,29,REP,6977.651,0.000,174.17,0.00,43.44,.5,35.44,-0.74,592.96
2024-04-15,30,REP,6987.9,0.000,180.87,0.00,33.33,.5,25,-0.79,547.33
2024-04-15,31,REP,6959.272,0.000,151.69,0.00,33.33,.05,24.68,-0.63,509.68
2024-04-15,32,REP,7028.082,0.000,170.77,0.00,33.33,.05,25,-0.78,461.58
2024-04-15,33,REP,7269.38,0.000,171.45,0.00,34.95,.05,35,-0.79,247.01
2024-04-15,34,REP,7293.674,0.000,176.52,0.00,34.95,.05,35,-0.82,219.9
2024-04-15,35,REP,7382.806,0.000,184.48,0.00,33.38,.05,32.1,-0.85,127.66
2024-04-15,36,REP,7251.841,0.000,176.92,0.00,33.33,.05,25,-0.83,159.5
2024-04-15,37,REP,7206.699,0.000,184.48,0.00,45.43,.05,35.44,-0.87,74.52
2024-04-15,38,REP,7201.053,0.000,184.82,0.00,44.44,.05,34.45,-0.81,39.06
2024-04-15,39,REP,7212.186,0.000,184.5,0.00,44.44,.05,32.1,-0.80,2.14
2024-04-15,40,REP,7242.532,0.000,184.94,0.00,35,.05,25.05,-0.77,0
2024-04-15,41,REP,7262.736,0.000,184.94,0.00,35,.05,25.05,-0.80,0
2024-04-15,42,REP,7239.466,0.000,185,0.00,49.99,.05,45.28,-0.80,0
2024-04-15,43,REP,7191.496,0.000,184.89,0.00,30.01,.05,40,-0.81,0
2024-04-15,44,REP,7084.263,0.000,184.56,0.00,33.33,.5,42.37,-0.81,0
2024-04-15,45,REP,6938.607,0.000,180.49,0.00,30,.5,35,-0.79,0
2024-04-15,46,REP,6779.015,0.000,170.56,0.00,30,.5,32.1,-0.73,0
2024-04-15,47,REP,6641.093,0.000,142.14,0.00,18.22,.01,22.33,-0.57,0
2024-04-15,48,REP,6403.681,0.000,122.69,0.00,10,.01,5.64,-0.48,0
