MCRId,FirstDate,FirstPeriod,LastDate,LastPeriod,LoadScenario,RunEndDate
16111F47FACF01A6E0630A020A0B0385,2024-04-15,1,2024-04-15,12,L,2024-04-14
16118A9CABE702B0E0630A020A0BB5B0,2024-04-15,2,2024-04-15,13,L,2024-04-14
1611F5DE2308021EE0630A020A0B76A9,2024-04-15,3,2024-04-15,14,L,2024-04-15
1612612B3BF502B4E0630A020A0B3477,2024-04-15,4,2024-04-15,15,L,2024-04-15
1612CC73459101AAE0630A020A0BE396,2024-04-15,5,2024-04-15,16,L,2024-04-15
161337C70F900222E0630A020A0B371A,2024-04-15,6,2024-04-15,17,L,2024-04-15
1613A308287C02D8E0630A020A0BAB3B,2024-04-15,7,2024-04-15,18,L,2024-04-15
16140E4E3B30016CE0630A020A0B51F5,2024-04-15,8,2024-04-15,19,L,2024-04-15
1614799BB4CF0182E0630A020A0BF371,2024-04-15,9,2024-04-15,20,L,2024-04-15
1614E4E2379A02A6E0630A020A0B3EC8,2024-04-15,10,2024-04-15,21,L,2024-04-15
1615502B7F4C0116E0630A020A0BBDDC,2024-04-15,11,2024-04-15,22,L,2024-04-15
1615BB7C4EC2025CE0630A020A0BF825,2024-04-15,12,2024-04-15,23,L,2024-04-15
161626CADC100262E0630A020A0B7A14,2024-04-15,13,2024-04-15,24,L,2024-04-15
1616920DEBAA0158E0630A020A0BE08B,2024-04-15,14,2024-04-15,25,L,2024-04-15
1616FD6087A802A6E0630A020A0B6F72,2024-04-15,15,2024-04-15,26,L,2024-04-15
161768A0798701C0E0630A020A0BF891,2024-04-15,16,2024-04-15,27,L,2024-04-15
1617D3F2C3320288E0630A020A0BF772,2024-04-15,17,2024-04-15,28,L,2024-04-15
16183F3BF05F02D0E0630A020A0B5BB7,2024-04-15,18,2024-04-15,29,L,2024-04-15
1618AA80095201E2E0630A020A0BC898,2024-04-15,19,2024-04-15,30,L,2024-04-15
161915C8BE4C02E0E0630A020A0BA311,2024-04-15,20,2024-04-15,31,L,2024-04-15
1619810CACC001BAE0630A020A0B3E9A,2024-04-15,21,2024-04-15,32,L,2024-04-15
1619EC61CB950142E0630A020A0B08B6,2024-04-15,22,2024-04-15,33,L,2024-04-15
161A57A8B9B90214E0630A020A0BB2A7,2024-04-15,23,2024-04-15,34,L,2024-04-15
161AC2F2B61802CAE0630A020A0B9D52,2024-04-15,24,2024-04-15,35,L,2024-04-15
161B2E34E89202E0E0630A020A0B36E6,2024-04-15,25,2024-04-15,36,L,2024-04-15
161B998B08D10138E0630A020A0B1A2E,2024-04-15,26,2024-04-15,37,L,2024-04-15
161C04CF0CBE01A6E0630A020A0B9A58,2024-04-15,27,2024-04-15,38,L,2024-04-15
161C70200B7A0136E0630A020A0BED35,2024-04-15,28,2024-04-15,39,L,2024-04-15
161CDB62E47802F0E0630A020A0B5D80,2024-04-15,29,2024-04-15,40,L,2024-04-15
161D46A781F60244E0630A020A0BEA2A,2024-04-15,30,2024-04-15,41,L,2024-04-15
161DB1F02743027CE0630A020A0BB334,2024-04-15,31,2024-04-15,42,L,2024-04-15
161E1D407A4501A8E0630A020A0B08B9,2024-04-15,32,2024-04-15,43,L,2024-04-15
161E8886A99D021AE0630A020A0B4E06,2024-04-15,33,2024-04-15,44,L,2024-04-15
161EF3D878FF01DEE0630A020A0B0293,2024-04-15,34,2024-04-15,45,L,2024-04-15
161F5F24D0BE0142E0630A020A0BC276,2024-04-15,35,2024-04-15,46,L,2024-04-15
161FCA6890570178E0630A020A0BE35F,2024-04-15,36,2024-04-15,47,L,2024-04-15
162035B7CC3901C4E0630A020A0B0380,2024-04-15,37,2024-04-15,48,L,2024-04-15
1620A0F913E502C2E0630A020A0BCCB3,2024-04-15,38,2024-04-16,1,L,2024-04-15
16210C428D4101F2E0630A020A0B923B,2024-04-15,39,2024-04-16,2,L,2024-04-15
162177966065010CE0630A020A0BD63D,2024-04-15,40,2024-04-16,3,L,2024-04-15
1621E2D3ABEB0292E0630A020A0B192E,2024-04-15,41,2024-04-16,4,L,2024-04-15
16224E203324026EE0630A020A0B56D7,2024-04-15,42,2024-04-16,5,L,2024-04-15
1622B970FA4A0122E0630A020A0BA3CA,2024-04-15,43,2024-04-16,6,L,2024-04-15
162324B367A10180E0630A020A0BF3AB,2024-04-15,44,2024-04-16,7,L,2024-04-15
16238FFE757102C2E0630A020A0BBEF5,2024-04-15,45,2024-04-16,8,L,2024-04-15
1623FB51216F01CAE0630A020A0BDE18,2024-04-15,46,2024-04-16,9,L,2024-04-15
1624668E8E4702D6E0630A020A0B35F3,2024-04-15,47,2024-04-16,10,L,2024-04-15
1624D1E2B36B0278E0630A020A0B5DB6,2024-04-15,48,2024-04-16,11,L,2024-04-15
