Period,reportType,Date,Demand,TCL,USEP,LCP,Regulation,PrimaryReserve,ContingencyReserve,EHEUR,Solar
25,REP,2023-08-04,6824.068,0.000,131.65,0.00,10,.01,5,-0.72,
26,REP,2023-08-04,6817.781,0.000,131.66,0.00,10,.01,5,-0.72,
27,REP,2023-08-04,6836.598,0.000,131.72,0.00,13.96,.01,4.17,-0.72,
28,REP,2023-08-04,6881.8,0.000,132.04,0.00,10,.01,4.48,-0.70,
29,REP,2023-08-04,6964.849,0.000,134.97,0.00,10,.01,5,-0.72,
30,REP,2023-08-04,6978.819,0.000,135.01,0.00,10,.01,5,-0.74,
31,REP,2023-08-04,7016.05,0.000,135.18,0.00,10,.01,5,-0.76,
32,REP,2023-08-04,7008.61,0.000,135.16,0.00,10,.01,5,-0.75,
33,REP,2023-08-04,7020.398,0.000,135.19,0.00,10,.01,5,-0.77,
34,REP,2023-08-04,7029.24,0.000,135.16,0.00,10,.01,5,-0.76,
35,REP,2023-08-04,7062.534,0.000,135.16,0.00,10,.01,8,-0.75,
36,REP,2023-08-04,7042.271,0.000,135.17,0.00,18.04,.01,8,-0.76,
37,REP,2023-08-04,7025.676,0.000,165.42,0.00,73.37,.05,33,-0.93,
38,REP,2023-08-04,7055.516,0.000,168.79,0.00,53.57,.05,23.49,-0.95,
39,REP,2023-08-04,7065.302,0.000,173.94,0.00,75.43,.5,39.86,-0.99,
40,REP,2023-08-04,7097.399,0.000,194.36,0.00,76.15,3.12,43,-1.12,
41,REP,2023-08-04,7097.324,0.000,194.32,0.00,72.05,1.5,40.52,-1.12,
42,REP,2023-08-04,7054.855,0.000,173.99,0.00,53.57,.05,33,-1.02,
43,REP,2023-08-04,6978.75,0.000,180.85,0.00,53.57,.06,43,-1.04,
44,REP,2023-08-04,6859.793,0.000,151.77,0.00,33.55,.01,19.76,-0.86,
45,REP,2023-08-04,6697.84,0.000,135.81,0.00,26.81,.05,18.81,-0.66,
46,REP,2023-08-04,6566.697,0.000,132.08,0.00,15.14,.02,7.14,-0.65,
47,REP,2023-08-04,6417.189,0.000,132.06,0.00,17.37,.02,15.17,-0.65,
48,REP,2023-08-04,6171.92,0.000,122.42,0.00,10,.05,.19,-0.59,
1,REP,2023-08-05,5927.013,0.000,117.46,0.00,9.8,.05,5.55,-0.53,
2,REP,2023-08-05,5832.469,0.000,117.79,0.00,9.8,.02,5,-0.54,
3,REP,2023-08-05,5861.524,0.000,121.71,0.00,9.8,.05,5.55,-0.55,
4,REP,2023-08-05,5779.593,0.000,119.65,0.00,9.8,.01,5.55,-0.54,
5,REP,2023-08-05,5731.419,0.000,120.02,0.00,9.8,.01,5.55,-0.55,
6,REP,2023-08-05,5693.612,0.000,119.74,0.00,9.8,.01,5.55,-0.55,
7,REP,2023-08-05,5673.111,0.000,119.73,0.00,9.8,.01,5.55,-0.55,
8,REP,2023-08-05,5650.577,0.000,119.64,0.00,9.8,.02,5.55,-0.55,
9,REP,2023-08-05,5619.529,0.000,117.37,0.00,9.8,.01,5.55,-0.53,
10,REP,2023-08-05,5624.171,0.000,117.37,0.00,9.8,.01,5.55,-0.53,
11,REP,2023-08-05,5661.551,0.000,117.76,0.00,9.8,.01,5.55,-0.53,
12,REP,2023-08-05,5716.648,0.000,119.19,0.00,9.8,.01,5,-0.54,
13,REP,2023-08-05,5792.088,0.000,119.74,0.00,10,.02,5,-0.55,
14,REP,2023-08-05,5881.115,0.000,131.75,0.00,10,.02,5,-0.59,
15,REP,2023-08-05,5953.121,0.000,121.2,0.00,15,.01,5.55,-0.54,
16,REP,2023-08-05,6079.483,0.000,131.79,0.00,15,.01,5.55,-0.60,
17,REP,2023-08-05,6225.79,0.000,130.1,0.00,10,.01,2,-0.63,
18,REP,2023-08-05,6290.653,0.000,129.65,0.00,15,.01,.5,-0.63,
19,REP,2023-08-05,6356.044,0.000,127.93,0.00,10,.01,.1,-0.62,
20,REP,2023-08-05,6448.227,0.000,131.74,0.00,11.02,.01,1.16,-0.65,
21,REP,2023-08-05,6504.522,0.000,131.74,0.00,10.96,.01,1.17,-0.65,
22,REP,2023-08-05,6486.203,0.000,131.75,0.00,11.5,.01,2,-0.65,
23,REP,2023-08-05,6455.588,0.000,127.92,0.00,10.03,.01,2,-0.62,
24,REP,2023-08-05,6349.756,0.000,119.89,0.00,10.03,.01,2,-0.58,
25,REP,2023-08-05,6237.002,0.000,117.6,0.00,10.03,.01,.1,-0.54,
26,REP,2023-08-05,6238.95,0.000,117.84,0.00,13.34,.01,.1,-0.54,
27,REP,2023-08-05,6234.532,0.000,117.84,0.00,10.03,.01,.1,-0.54,
28,REP,2023-08-05,6244.84,0.000,119.55,0.00,10.03,.01,.1,-0.55,
29,REP,2023-08-05,6192.426,0.000,117.34,0.00,10.03,.01,.1,-0.54,
30,REP,2023-08-05,6189.568,0.000,119.57,0.00,10.03,.01,.1,-0.56,
31,REP,2023-08-05,6253.721,0.000,119.57,0.00,10.03,.01,.1,-0.55,
32,REP,2023-08-05,6317.312,0.000,119.9,0.00,10.03,.01,.1,-0.58,
33,REP,2023-08-05,6361.004,0.000,126.7,0.00,10.03,.01,.1,-0.62,
34,REP,2023-08-05,6387.832,0.000,125.65,0.00,15,.01,.1,-0.61,
35,REP,2023-08-05,6401.474,0.000,126.71,0.00,10.63,.01,1.13,-0.62,
36,REP,2023-08-05,6390.829,0.000,126.07,0.00,15,.01,.5,-0.62,
37,REP,2023-08-05,6436.329,0.000,127.94,0.00,49.44,.02,2,-0.63,
38,REP,2023-08-05,6528.483,0.000,131.76,0.00,27.02,.02,2,-0.66,
39,REP,2023-08-05,6614.528,0.000,136.04,0.00,53.57,.06,2,-0.67,
40,REP,2023-08-05,6656.44,0.000,136.21,0.00,51.5,.06,2,-0.68,
41,REP,2023-08-05,6656.808,0.000,131.77,0.00,33.55,.05,2,-0.66,
42,REP,2023-08-05,6665.356,0.000,131.85,0.00,15,.05,3.45,-0.66,
43,REP,2023-08-05,6643.131,0.000,131.79,0.00,12.95,.05,3.45,-0.66,
44,REP,2023-08-05,6574.828,0.000,131.77,0.00,10.8,.05,2,-0.65,
45,REP,2023-08-05,6474.613,0.000,131.65,0.00,10.08,.02,.58,-0.65,
46,REP,2023-08-05,6397.414,0.000,127.98,0.00,10,.01,.5,-0.63,
47,REP,2023-08-05,6298.814,0.000,129.05,0.00,10,.01,3.45,-0.63,
48,REP,2023-08-05,6189.305,0.000,127.9,0.00,10,.02,3.45,-0.61,
